model,kernel,alpha,batch_size,gamma,n_components,best_train,best_val,best_test
82,linear,6.157894736842106e-05,300,None,None,0.96125,0.9737385659486574,0.9628830771996045
83,linear,8.736842105263157e-05,300,None,None,0.9690104166666667,0.9701976984361168,0.9692639525478566
84,linear,0.0001131578947368421,300,None,None,0.9675,0.9687223369725583,0.9673766513885145
85,linear,0.00013894736842105261,300,None,None,0.944375,0.9660666863381528,0.9494922261166532
86,linear,0.00016473684210526314,300,None,None,0.9182291666666667,0.9651814694600177,0.9236092387885324
87,linear,0.00019052631578947367,300,None,None,0.96203125,0.9616406019474771,0.9633324346184956
88,linear,0.0002163157894736842,300,None,None,0.9166666666666666,0.9637061079964592,0.9235193673047541
89,linear,0.00024210526315789473,300,None,None,0.9446875,0.9622307465329005,0.9504808124382134
90,linear,0.00026789473684210526,300,None,None,0.9041145833333334,0.9595750958984951,0.9094095443515773
91,linear,0.0002936842105263158,300,None,None,0.9376041666666667,0.9575095898495132,0.9447290374764087
92,linear,0.0003194736842105263,300,None,None,0.9340104166666666,0.9604603127766302,0.9408645636739462
93,linear,0.00034526315789473684,300,None,None,0.9498958333333334,0.9592800236057835,0.9547047721757886
94,linear,0.00037105263157894737,300,None,None,0.8931770833333333,0.9457066981410446,0.9006920104250922
95,linear,0.0003968421052631579,300,None,None,0.9053125,0.9412806137503689,0.9118360744135886
96,linear,0.0004226315789473684,300,None,None,0.8800520833333333,0.9365594570669814,0.8879302597285881
97,linear,0.00044842105263157895,300,None,None,0.8968229166666667,0.9460017704337562,0.9041969982924418
98,linear,0.0004742105263157895,300,None,None,0.8628125,0.9569194452640897,0.8686078907162758
99,linear,0.0005,300,None,None,0.8763541666666667,0.9368545293596932,0.8839759144423475
